year,category,laureate,organization,motivation,portion,prize_amount,prize_amount_adjusted,date_awarded
1901,Chemistry,Jacobus H. van 't Hoff,,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,1,150782,10833458,1901-11-12
1901,Literature,Sully Prudhomme,,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",1,150782,10833458,1901-11-14
1901,Peace,Henry Dunant,,for his humanitarian efforts to help wounded soldiers and create international understanding,1/2,150782,10833458,1901-12-10
1901,Peace,Frédéric Passy,,"for his lifelong work for international peace conferences, diplomacy and arbitration",1/2,150782,10833458,1901-12-10
1901,Physics,Wilhelm Conrad Röntgen,,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,1,150782,10833458,1901-11-12
1901,Physiology or Medicine,Emil von Behring,,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",1,150782,10833458,1901-10-30
1902,Chemistry,Emil Fischer,,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,1,141847,10191492,1902-11-11
1902,Literature,Theodor Mommsen,,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",1,141847,10191492,1902-11-13
1902,Peace,Élie Ducommun,,for his untiring and skilful directorship of the Bern Peace Bureau,1/2,141847,10191492,1902-12-10
1902,Peace,Albert Gobat,,for his eminently practical administration of the Inter-Parliamentary Union,1/2,141847,10191492,1902-12-10
1902,Physics,Hendrik A. Lorentz,,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,141847,10191492,1902-11-11
1902,Physics,Pieter Zeeman,,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,1/2,141847,10191492,1902-11-11
1902,Physiology or Medicine,Ronald Ross,,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it",1,141847,10191492,1902-10-30
1903,Chemistry,Svante Arrhenius,,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,1,141358,9857642,1903-11-12
1903,Literature,Bjørnstjerne Bjørnson,,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",1,141358,9857642,1903-11-19
1903,Peace,Randal Cremer,,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,1,141358,9857642,1903-12-10
1903,Physics,Henri Becquerel,,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,1/2,141358,9857642,1903-11-12
1903,Physics,Pierre Curie,,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,141358,9857642,1903-11-12
1903,Physics,Marie Curie,,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,1/4,141358,9857642,1903-11-12
1903,Physiology or Medicine,Niels Ryberg Finsen,,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science",1,141358,9857642,1903-10-15
1904,Chemistry,Sir William Ramsay,,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",1,140859,9822844,1904-11-08
1904,Literature,Frédéric Mistral,,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",1/2,140859,9822844,1904-11-17
1904,Literature,José Echegaray,,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",1/2,140859,9822844,1904-11-17
1904,Peace,,,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,1,140859,9822844,1904-12-10
1904,Physics,Lord Rayleigh,,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,1,140859,9822844,1904-11-08
1904,Physiology or Medicine,Ivan Pavlov,,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged",1,140859,9822844,1904-10-20
1905,Chemistry,Adolf von Baeyer,,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",1,138089,9629677,1905-11-09
1905,Literature,Henryk Sienkiewicz,,because of his outstanding merits as an epic writer,1,138089,9629677,1905-11-09
1905,Peace,Bertha von Suttner,,for her audacity to oppose the horrors of war,1,138089,9629677,1905-12-10
1905,Physics,Philipp Lenard,,for his work on cathode rays,1,138089,9629677,1905-11-09
1905,Physiology or Medicine,Robert Koch,,for his investigations and discoveries in relation to tuberculosis,1,138089,9629677,1905-10-12
1906,Chemistry,Henri Moissan,,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",1,138536,9384824,1906-11-12
1906,Literature,Giosuè Carducci,,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",1,138536,9384824,1906-11-08
1906,Peace,Theodore Roosevelt,,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",1,138536,9384824,1906-12-10
1906,Physics,J.J. Thomson,,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,1,138536,9384824,1906-11-12
1906,Physiology or Medicine,Camillo Golgi,,in recognition of their work on the structure of the nervous system,1/2,138536,9384824,1906-10-25
1906,Physiology or Medicine,Santiago Ramón y Cajal,,in recognition of their work on the structure of the nervous system,1/2,138536,9384824,1906-10-25
1907,Chemistry,Eduard Buchner,,for his biochemical researches and his discovery of cell-free fermentation,1,138796,8894198,1907-11-12
1907,Literature,Rudyard Kipling,,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",1,138796,8894198,1907-11-07
1907,Peace,Ernesto Teodoro Moneta,,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",1/2,138796,8894198,1907-12-10
1907,Peace,Louis Renault,,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,1/2,138796,8894198,1907-12-10
1907,Physics,Albert A. Michelson,,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,1,138796,8894198,1907-11-12
1907,Physiology or Medicine,Alphonse Laveran,,in recognition of his work on the role played by protozoa in causing diseases,1,138796,8894198,1907-10-31
1908,Chemistry,Ernest Rutherford,,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",1,139800,8958535,1908-11-10
1908,Literature,Rudolf Eucken,,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",1,139800,8958535,1908-11-12
1908,Peace,Klas Pontus Arnoldson,,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1/2,139800,8958535,1908-12-10
1908,Peace,Fredrik Bajer,,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",1/2,139800,8958535,1908-12-10
1908,Physics,Gabriel Lippmann,,for his method of reproducing colours photographically based on the phenomenon of interference,1,139800,8958535,1908-11-10
1908,Physiology or Medicine,Ilya Mechnikov,,in recognition of their work on immunity,1/2,139800,8958535,1908-10-29
1908,Physiology or Medicine,Paul Ehrlich,,in recognition of their work on immunity,1/2,139800,8958535,1908-10-29
1909,Chemistry,Wilhelm Ostwald,,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,1,139800,8958535,1909-11-09
1909,Literature,Selma Lagerlöf,,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",1,139800,8958535,1909-11-11
1909,Peace,Auguste Beernaert,,for their prominent position in the international movement for peace and arbitration,1/2,139800,8958535,1909-12-10
1909,Peace,Paul Henri d'Estournelles de Constant,,for their prominent position in the international movement for peace and arbitration,1/2,139800,8958535,1909-12-10
1909,Physics,Guglielmo Marconi,,in recognition of their contributions to the development of wireless telegraphy,1/2,139800,8958535,1909-11-09
1909,Physics,Ferdinand Braun,,in recognition of their contributions to the development of wireless telegraphy,1/2,139800,8958535,1909-11-09
1909,Physiology or Medicine,Theodor Kocher,,"for his work on the physiology, pathology and surgery of the thyroid gland",1,139800,8958535,1909-10-28
1910,Chemistry,Otto Wallach,,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,1,140703,9016400,1910-11-12
1910,Literature,Paul Heyse,,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",1,140703,9016400,1910-11-10
1910,Peace,,,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",1,140703,9016400,1910-12-10
1910,Physics,Johannes Diderik van der Waals,,for his work on the equation of state for gases and liquids,1,140703,9016400,1910-11-05
1910,Physiology or Medicine,Albrecht Kossel,,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",1,140703,9016400,1910-10-20
1911,Chemistry,Marie Curie,,"in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element",1,140695,9266329,1911-11-07
1911,Literature,Maurice Maeterlinck,,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",1,140695,9266329,1911-11-09
1911,Peace,Tobias Asser,,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",1/2,140695,9266329,1911-12-10
1911,Peace,Alfred Fried,,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",1/2,140695,9266329,1911-12-10
1911,Physics,Wilhelm Wien,,for his discoveries regarding the laws governing the radiation of heat,1,140695,9266329,1911-11-07
1911,Physiology or Medicine,Allvar Gullstrand,,for his work on the dioptrics of the eye,1,140695,9266329,1911-10-19
1912,Chemistry,Victor Grignard,,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry",1/2,140476,8540220,1912-11-12
1912,Chemistry,Paul Sabatier,,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,1/2,140476,8540220,1912-11-12
1912,Literature,Gerhart Hauptmann,,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",1,140476,8540220,1912-11-14
1912,Peace,Elihu Root,,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,1,140476,8540220,1913-12-10
1912,Physics,Gustaf Dalén,,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,1,140476,8540220,1912-11-12
1912,Physiology or Medicine,Alexis Carrel,,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,1,140476,8540220,1912-10-10
1913,Chemistry,Alfred Werner,,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,1,143010,8694275,1913-11-11
1913,Literature,Rabindranath Tagore,,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",1,143010,8694275,1913-11-13
1913,Peace,Henri La Fontaine,,for his unparalleled contribution to the organization of peaceful internationalism,1,143010,8694275,1913-12-10
1913,Physics,Heike Kamerlingh Onnes,,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium",1,143010,8694275,1913-11-11
1913,Physiology or Medicine,Charles Richet,,in recognition of his work on anaphylaxis,1,143010,8694275,1913-10-30
1914,Chemistry,Theodore W. Richards,,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,1,146900,8930767,1915-11-11
1914,Physics,Max von Laue,,for his discovery of the diffraction of X-rays by crystals,1,146900,8930767,1915-11-11
1914,Physiology or Medicine,Robert Bárány,,for his work on the physiology and pathology of the vestibular apparatus,1,146900,8930767,1915-10-29
1915,Chemistry,Richard Willstätter,,"for his researches on plant pigments, especially chlorophyll",1,149223,7862394,1915-11-11
1915,Literature,Romain Rolland,,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,1,149223,7862394,1916-11-09
1915,Physics,William Bragg,,for their services in the analysis of crystal structure by means of X-rays,1/2,149223,7862394,1915-11-12
1915,Physics,Lawrence Bragg,,for their services in the analysis of crystal structure by means of X-rays,1/2,149223,7862394,1915-11-12
1916,Literature,Verner von Heidenstam,,in recognition of his significance as the leading representative of a new era in our literature,1,131793,6127082,1916-11-09
1917,Literature,Karl Gjellerup,,"for his varied and rich poetry, which is inspired by lofty ideals",1/2,133823,4957724,1917-11-08
1917,Literature,Henrik Pontoppidan,,for his authentic descriptions of present-day life in Denmark,1/2,133823,4957724,1917-11-08
1917,Peace,,,for the efforts to take care of wounded soldiers and prisoners of war and their families,1,133823,4957724,1917-12-10
1917,Physics,Charles Glover Barkla,,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,1,133823,4957724,1918-11-12
1918,Chemistry,Fritz Haber,,for the synthesis of ammonia from its elements,1,138198,3600741,1919-11-13
1918,Physics,Max Planck,,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,1,138198,3600741,1919-11-13
1919,Literature,Carl Spitteler,,"in special appreciation of his epic, <I>Olympian Spring</I>",1,133127,3006134,1920-11-11
1919,Peace,Woodrow Wilson,,for his role as founder of the League of Nations,1,133127,3006134,1920-12-10
1919,Physics,Johannes Stark,,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,1,133127,3006134,1919-11-13
1919,Physiology or Medicine,Jules Bordet,,for his discoveries relating to immunity,1,133127,3006134,1920-10-28
1920,Chemistry,Walther Nernst,,in recognition of his work in thermochemistry,1,134100,3028106,1921-11-10
1920,Literature,Knut Hamsun,,"for his monumental work, <I>Growth of the Soil</I>",1,134100,3028106,1920-11-11
1920,Peace,Léon Bourgeois,,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,1,134100,3028106,1920-12-10
1920,Physics,Charles Edouard Guillaume,,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,1,134100,3028106,1920-11-11
1920,Physiology or Medicine,August Krogh,,for his discovery of the capillary motor regulating mechanism,1,134100,3028106,1920-10-28
1921,Chemistry,Frederick Soddy,,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",1,121573,3202773,1922-11-09
1921,Literature,Anatole France,,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",1,121573,3202773,1921-11-10
1921,Peace,Hjalmar Branting,,for their lifelong contributions to the cause of peace and organized internationalism,1/2,121573,3202773,1921-12-10
1921,Peace,Christian Lange,,for their lifelong contributions to the cause of peace and organized internationalism,1/2,121573,3202773,1921-12-10
1921,Physics,Albert Einstein,,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",1,121573,3202773,1922-11-09
1922,Chemistry,Francis W. Aston,,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",1,122483,3978181,1922-11-09
1922,Literature,Jacinto Benavente,,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,1,122483,3978181,1922-11-09
1922,Peace,Fridtjof Nansen,,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",1,122483,3978181,1922-12-10
1922,Physics,Niels Bohr,,for his services in the investigation of the structure of atoms and of the radiation emanating from them,1,122483,3978181,1922-11-09
1922,Physiology or Medicine,Archibald V. Hill,,for his discovery relating to the production of heat in the muscle,1/2,122483,3978181,1922-10-25
1922,Physiology or Medicine,Otto Meyerhof,,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,1/2,122483,3978181,1922-10-25
1923,Chemistry,Fritz Pregl,,for his invention of the method of micro-analysis of organic substances,1,114935,4007513,1923-11-13
1923,Literature,William Butler Yeats,,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",1,114935,4007513,1923-11-14
1923,Physics,Robert A. Millikan,,for his work on the elementary charge of electricity and on the photoelectric effect,1,114935,4007513,1923-11-13
1923,Physiology or Medicine,Frederick G. Banting,,for the discovery of insulin,1/2,114935,4007513,1923-10-25
1923,Physiology or Medicine,John Macleod,,for the discovery of insulin,1/2,114935,4007513,1923-10-25
1924,Literature,Władysław Reymont,,"for his great national epic, <I>The Peasants</I>",1,116719,4069717,1924-11-13
1924,Physics,Manne Siegbahn,,for his discoveries and research in the field of X-ray spectroscopy,1,116719,4069717,1925-11-12
1924,Physiology or Medicine,Willem Einthoven,,for his discovery of the mechanism of the electrocardiogram,1,116719,4069717,1924-10-23
1925,Chemistry,Richard Zsigmondy,,"for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry",1,118165,4060423,1926-11-11
1925,Literature,George Bernard Shaw,,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",1,118165,4060423,1926-11-11
1925,Peace,Sir Austen Chamberlain,,for his crucial role in bringing about the Locarno Treaty,1/2,118165,4060423,1926-12-10
1925,Peace,Charles G. Dawes,,for his crucial role in bringing about the Dawes Plan,1/2,118165,4060423,1926-12-10
1925,Physics,James Franck,,for their discovery of the laws governing the impact of an electron upon an atom,1/2,118165,4060423,1926-11-11
1925,Physics,Gustav Hertz,,for their discovery of the laws governing the impact of an electron upon an atom,1/2,118165,4060423,1926-11-11
1926,Chemistry,The Svedberg,,for his work on disperse systems,1,116960,4138987,1926-11-11
1926,Literature,Grazia Deledda,,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,1,116960,4138987,1927-11-10
1926,Peace,Aristide Briand,,for their crucial role in bringing about the Locarno Treaty,1/2,116960,4138987,1926-12-10
1926,Peace,Gustav Stresemann,,for their crucial role in bringing about the Locarno Treaty,1/2,116960,4138987,1926-12-10
1926,Physics,Jean Baptiste Perrin,,"for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium",1,116960,4138987,1926-11-11
1926,Physiology or Medicine,Johannes Fibiger,,for his discovery of the Spiroptera carcinoma,1,116960,4138987,1927-10-27
1927,Chemistry,Heinrich Wieland,,for his investigations of the constitution of the bile acids and related substances,1,126501,4544453,1928-11-13
1927,Literature,Henri Bergson,,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,1,126501,4544453,1928-11-13
1927,Peace,Ferdinand Buisson,,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,1/2,126501,4544453,1927-12-10
1927,Peace,Ludwig Quidde,,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,1/2,126501,4544453,1927-12-10
1927,Physics,Arthur H. Compton,,for his discovery of the effect named after him,1/2,126501,4544453,1927-11-10
1927,Physics,C.T.R. Wilson,,for his method of making the paths of electrically charged particles visible by condensation of vapour,1/2,126501,4544453,1927-11-10
1927,Physiology or Medicine,Julius Wagner-Jauregg,,for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,1,126501,4544453,1927-10-27
1928,Chemistry,Adolf Windaus,,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,1,156939,5637915,1928-11-13
1928,Literature,Sigrid Undset,,principally for her powerful descriptions of Northern life during the Middle Ages,1,156939,5637915,1928-11-13
1928,Physics,Owen Willans Richardson,,for his work on the thermionic phenomenon and especially for the discovery of the law named after him,1,156939,5637915,1929-11-12
1928,Physiology or Medicine,Charles Nicolle,,for his work on typhus,1,156939,5637915,1928-10-25
1929,Chemistry,Arthur Harden,,for their investigations on the fermentation of sugar and fermentative enzymes,1/2,172760,6206272,1929-11-12
1929,Chemistry,Hans von Euler-Chelpin,,for their investigations on the fermentation of sugar and fermentative enzymes,1/2,172760,6206272,1929-11-12
1929,Literature,Thomas Mann,,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",1,172760,6206272,1929-11-12
1929,Peace,Frank B. Kellogg,,for his crucial role in bringing about the Briand-Kellogg Pact,1,172760,6206272,1930-12-10
1929,Physics,Louis de Broglie,,for his discovery of the wave nature of electrons,1,172760,6206272,1929-11-12
1929,Physiology or Medicine,Christiaan Eijkman,,for his discovery of the antineuritic vitamin,1/2,172760,6206272,1929-10-31
1929,Physiology or Medicine,Sir Frederick Hopkins,,for his discovery of the growth-stimulating vitamins,1/2,172760,6206272,1929-10-31
1930,Chemistry,Hans Fischer,,for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin,1,172947,6407146,1930-11-13
1930,Literature,Sinclair Lewis,,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",1,172947,6407146,1930-11-05
1930,Peace,Nathan Söderblom,,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',1,172947,6407146,1930-12-10
1930,Physics,Sir Chandrasekhara Venkata Raman,,for his work on the scattering of light and for the discovery of the effect named after him,1,172947,6407146,1930-11-13
1930,Physiology or Medicine,Karl Landsteiner,,for his discovery of human blood groups,1,172947,6407146,1930-10-30
1931,Chemistry,Carl Bosch,,in recognition of their contributions to the invention and development of chemical high pressure methods,1/2,173206,6623733,1931-11-12
1931,Chemistry,Friedrich Bergius,,in recognition of their contributions to the invention and development of chemical high pressure methods,1/2,173206,6623733,1931-11-12
1931,Literature,Erik Axel Karlfeldt,,The poetry of Erik Axel Karlfeldt,1,173206,6623733,1931-11-08
1931,Peace,Jane Addams,,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,1/2,173206,6623733,1931-12-10
1931,Peace,Nicholas Murray Butler,,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,1/2,173206,6623733,1931-12-10
1931,Physiology or Medicine,Otto Warburg,,for his discovery of the nature and mode of action of the respiratory enzyme,1,173206,6623733,1931-10-29
1932,Chemistry,Irving Langmuir,,for his discoveries and investigations in surface chemistry,1,171753,6675842,1932-11-10
1932,Literature,John Galsworthy,,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,1,171753,6675842,1932-11-10
1932,Physics,Werner Heisenberg,,"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen",1,171753,6675842,1933-11-09
1932,Physiology or Medicine,Sir Charles Sherrington,,for their discoveries regarding the functions of neurons,1/2,171753,6675842,1932-10-27
1932,Physiology or Medicine,Edgar Adrian,,for their discoveries regarding the functions of neurons,1/2,171753,6675842,1932-10-27
1933,Literature,Ivan Bunin,,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,1,170332,6845037,1933-11-09
1933,Peace,Sir Norman Angell,,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,1,170332,6845037,1934-12-10
1933,Physics,Erwin Schrödinger,,for the discovery of new productive forms of atomic theory,1/2,170332,6845037,1933-11-09
1933,Physics,Paul A.M. Dirac,,for the discovery of new productive forms of atomic theory,1/2,170332,6845037,1933-11-09
1933,Physiology or Medicine,Thomas H. Morgan,,for his discoveries concerning the role played by the chromosome in heredity,1,170332,6845037,1933-10-20
1934,Chemistry,Harold C. Urey,,for his discovery of heavy hydrogen,1,162608,6534637,1934-11-15
1934,Literature,Luigi Pirandello,,for his bold and ingenious revival of dramatic and scenic art,1,162608,6534637,1934-11-08
1934,Peace,Arthur Henderson,,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,1,162608,6534637,1934-12-10
1934,Physiology or Medicine,George H. Whipple,,for their discoveries concerning liver therapy in cases of anaemia,1/3,162608,6534637,1934-10-25
1934,Physiology or Medicine,George R. Minot,,for their discoveries concerning liver therapy in cases of anaemia,1/3,162608,6534637,1934-10-25
1934,Physiology or Medicine,William P. Murphy,,for their discoveries concerning liver therapy in cases of anaemia,1/3,162608,6534637,1934-10-25
1935,Chemistry,Frédéric Joliot,,in recognition of their synthesis of new radioactive elements,1/2,159917,6319387,1935-11-14
1935,Chemistry,Irène Joliot-Curie,,in recognition of their synthesis of new radioactive elements,1/2,159917,6319387,1935-11-14
1935,Peace,Carl von Ossietzky,,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,1,159917,6319387,1936-11-24
1935,Physics,James Chadwick,,for the discovery of the neutron,1,159917,6319387,1935-11-14
1935,Physiology or Medicine,Hans Spemann,,for his discovery of the organizer effect in embryonic development,1,159917,6319387,1935-10-24
1936,Chemistry,Peter Debye,,for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases,1,159850,6213186,1936-11-12
1936,Literature,Eugene O'Neill,,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",1,159850,6213186,1936-11-12
1936,Peace,Carlos Saavedra Lamas,,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",1,159850,6213186,1936-11-24
1936,Physics,Victor F. Hess,,for his discovery of cosmic radiation,1/2,159850,6213186,1936-11-12
1936,Physics,Carl D. Anderson,,for his discovery of the positron,1/2,159850,6213186,1936-11-12
1936,Physiology or Medicine,Sir Henry Dale,,for their discoveries relating to chemical transmission of nerve impulses,1/2,159850,6213186,1936-10-29
1936,Physiology or Medicine,Otto Loewi,,for their discoveries relating to chemical transmission of nerve impulses,1/2,159850,6213186,1936-10-29
1937,Chemistry,Norman Haworth,,for his investigations on carbohydrates and vitamin C,1/2,158463,5963742,1937-11-11
1937,Chemistry,Paul Karrer,,"for his investigations on carotenoids, flavins and vitamins A and B2",1/2,158463,5963742,1937-11-11
1937,Literature,Roger Martin du Gard,,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,1,158463,5963742,1937-11-11
1937,Peace,"Robert Cecil, Viscount Cecil of Chelwood",,"for his tireless effort in support of the League of Nations, disarmament and peace",1,158463,5963742,1937-11-18
1937,Physics,Clinton Davisson,,for their experimental discovery of the diffraction of electrons by crystals,1/2,158463,5963742,1937-11-11
1937,Physics,George Paget Thomson,,for their experimental discovery of the diffraction of electrons by crystals,1/2,158463,5963742,1937-11-11
1937,Physiology or Medicine,Albert Szent-Györgyi,,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",1,158463,5963742,1937-10-28
1938,Chemistry,Richard Kuhn,,for his work on carotenoids and vitamins,1,155077,5745118,1939-11-09
1938,Literature,Pearl Buck,,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,1,155077,5745118,1938-11-10
1938,Peace,,,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,1,155077,5745118,1938-11-17
1938,Physics,Enrico Fermi,,"for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons",1,155077,5745118,1938-11-10
1938,Physiology or Medicine,Corneille Heymans,,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,1,155077,5745118,1939-10-26
1939,Chemistry,Adolf Butenandt,,for his work on sex hormones,1/2,148822,5346318,1939-11-09
1939,Chemistry,Leopold Ruzicka,,for his work on polymethylenes and higher terpenes,1/2,148822,5346318,1939-11-09
1939,Literature,Frans Eemil Sillanpää,,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,1,148822,5346318,1939-11-10
1939,Physics,Ernest Lawrence,,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements",1,148822,5346318,1939-11-09
1939,Physiology or Medicine,Gerhard Domagk,,for the discovery of the antibacterial effects of prontosil,1,148822,5346318,1939-10-26
